file_name ,stomata_count,,,,,,,
SWB_6_ab_2,,,,,,,,
SWB_6_ab_3,,,,,,,,
SWB_6_ad_1,,,,,,,,
SWB_6_ad_2,,,,,,,,
SWB_6_ad_3,,,,,,,,
SWB_7_ab_1,,,,,,,,
SWB_7_ab_2,,,,,,,,
SWB_7_ab_3,,,,,,,,
SWB_7_ad_1,,,,,,,,
SWB_7_ad_2,,,,,,,,
SWB_7_ad_3,,,,,,,,
SWB_8_ab_1,208,,,,,,,
SWB_8_ab_2,202,,,,,,,
SWB_8_ab_3,202,,,,,,,
SWB_8_ad_1,175,,,,,,,
SWB_8_ad_2,177,,,,,,,
SWB_8_ad_3,367,,,,,,,
SWB_9_ab_1,160,,,,,,,
SWB_9_ab_2,157,,,,,,,
SWB_9_ab_3,191,,,,,,,
SWB_9_ad_1,226,,,,,,,
SWB_9_ad_2,191,,,,,,,
SWB_9_ad_3,190,,,,,,,
SWC_1_ab_1,,,,,,,,
SWC_1_ab_2,,,,,,,,
SWC_1_ab_3,,,,,,,,
SWC_1_ad_1,,,,,,,,
SWC_1_ad_2,,,,,,,,
SWC_1_ad_3,,,,,,,,
SWC_10_ab_1,,,,,,,,
SWC_10_ab_2,,,,,,,,
SWC_10_ab_3,,,,,,,,
SWC_10_ad_1,,,,,,,,
SWC_10_ad_2,,,,,,,,
SWC_10_ad_3,,,,,,,,
SWC_11_ab_1,,,,,,,,
SWC_11_ab_2,,,,,,,,
SWC_11_ab_3,,,,,,,,
SWC_11_ad_1,,,,,,,,
