file_name,stomate_rep,stomate_length_um,notes
,4,26.571,
,5,27.029,
,6,25.684,
,7,26.833,
,8,26.8,
,9,28.978,
,10,22.389,
OPB_6_ad_1,1,22.515,
,2,21.771,
,3,21.291,
,4,24.092,
,5,25.588,
,6,22.114,
,7,24.003,
,8,20.776,
,9,23.266,
,10,25.263,
OPB_7_ab_1,1,23.564,
,2,23.222,
,3,24.902,
,4,24.27,
,5,21.072,
,6,20.009,
,7,18.843,
,8,23.84,
,9,24.406,
,10,22.042,
OPB_7_ad_1,1,23.297,
,2,25.691,
,3,22.756,
,4,26.883,
,5,24.319,
,6,25.048,
,7,22.909,
,8,22.647,
,9,24.19,
,10,21.979,
OPB_8_ab_1,1,22.99,
,2,24.372,
,3,23.583,
,4,25.412,
,5,23.208,
,6,23.403,
,7,21.925,
,8,20.229,
,9,21.997,
,10,22.934,
OPB_8_ad_1,1,20.025,
,2,19.388,
,3,24.052,
,4,21.986,
,5,19.666,
,6,21.225,
,7,23.068,
,8,21.407,
,9,23.162,
,10,22.121,
OPB_9_ab_1,1,23.835,
,2,23.024,
,3,24.104,
,4,22.113,
,5,22.634,
,6,25.644,
,7,24.416,
,8,24.948,
,9,22.063,
,10,21.989,
OPB_9_ad_1,1,22.879,
,2,21.148,
,3,20.1,
,4,20.417,
,5,23.338,
,6,20.493,
,7,23.191,
,8,21.851,
,9,21.992,
,10,22.91,
PGR_1_ab_1,1,n/a,no file
,2,n/a,
,3,n/a,
,4,n/a,
,5,n/a,
,6,n/a,
,7,n/a,
,8,n/a,
,9,n/a,
,10,n/a,
PGR_1_ad_1,1,n/a,no file
,2,n/a,
,3,n/a,
,4,n/a,
,5,n/a,
,6,n/a,
,7,n/a,
,8,n/a,
,9,n/a,
,10,n/a,
PGR_10_ab_1,1,16.239,
,2,19.887,
,3,17.648,
,4,18.094,
,5,17.71,
,6,20.082,
,7,26.109,
,8,19.801,
,9,18.45,
,10,16.344,
PGR_10_ad_1,1,21.523,
,2,20.968,
,3,23.641,
,4,20.644,
,5,21.173,
,6,19.234,
,7,19.292,
,8,19.482,
,9,17.741,
,10,22.071,
PGR_11_ab_1,1,24.468,
,2,24.121,
,3,21.652,
,4,21.228,
,5,18.085,
,6,24.823,
,7,22.152,
,8,21.564,
,9,27.483,
,10,20.592,
PGR_11_ad_1,1,18.345,
,2,20.486,
,3,22.386,
,4,19.098,
,5,23.208,
,6,21.004,
,7,25.206,
,8,23.48,
,9,21.57,
,10,21.405,
